source,rule,severity,category,file,line,symbol,description,evidence
pattern,PATTERN005,medium,resilience,traigent/optimizers/remote_services.py,829,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN008,medium,determinism,traigent/optimizers/remote_services.py,876,,Random behavior without explicit seed can reduce reproducibility.,config[param_name] = random.choice(param_def)
pattern,PATTERN008,medium,determinism,traigent/optimizers/remote_services.py,883,,Random behavior without explicit seed can reduce reproducibility.,"config[param_name] = random.randint(low, high)"
pattern,PATTERN008,medium,determinism,traigent/optimizers/remote_services.py,885,,Random behavior without explicit seed can reduce reproducibility.,"config[param_name] = random.uniform(low, high)"
ast,AST006,medium,api,traigent/optimizers/remote_services.py,194,__init__,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def __init__(..., timeout, ...)"
ast,AST006,medium,api,traigent/optimizers/remote_services.py,263,create_session,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def create_session(..., max_trials, ...)"
ast,AST006,medium,api,traigent/optimizers/remote_services.py,263,create_session,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def create_session(..., timeout, ...)"
ast,AST006,medium,api,traigent/optimizers/remote_services.py,742,create_session,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def create_session(..., max_trials, ...)"
ast,AST006,medium,api,traigent/optimizers/remote_services.py,742,create_session,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def create_session(..., timeout, ...)"
ast,AST006,medium,api,traigent/providers/validation.py,202,_run_with_timeout,Parameter 'timeout' has no local guard/comparison; validate bounds in call path.,"def _run_with_timeout(..., timeout, ...)"
pattern,PATTERN009,medium,performance,traigent/security/auth/sms.py,144,,Blocking sleep can stall event loops or workers.,time.sleep(TIMING_ATTACK_DELAY_SECONDS)
pattern,PATTERN009,medium,performance,traigent/security/auth/sms.py,152,,Blocking sleep can stall event loops or workers.,time.sleep(TIMING_ATTACK_DELAY_SECONDS)
pattern,PATTERN009,medium,performance,traigent/security/auth/sms.py,160,,Blocking sleep can stall event loops or workers.,time.sleep(TIMING_ATTACK_DELAY_SECONDS)
pattern,PATTERN009,medium,performance,traigent/security/auth/sms.py,179,,Blocking sleep can stall event loops or workers.,"time.sleep(TIMING_ATTACK_DELAY_SECONDS * stored[""attempts""])"
pattern,PATTERN005,medium,resilience,traigent/security/encryption.py,200,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/security/encryption.py,293,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN009,medium,performance,traigent/security/enterprise.py,415,,Blocking sleep can stall event loops or workers.,time.sleep(interval_seconds)
pattern,PATTERN009,medium,performance,traigent/security/enterprise.py,419,,Blocking sleep can stall event loops or workers.,time.sleep(interval_seconds)
pattern,PATTERN009,medium,performance,traigent/security/jwt_validator.py,569,,Blocking sleep can stall event loops or workers.,time.sleep(delay)
pattern,PATTERN004,medium,resilience,traigent/security/session_manager.py,344,,Infinite loop requires explicit exit/cancel safeguards.,while True:
pattern,PATTERN004,medium,resilience,traigent/storage/local_storage.py,160,,Infinite loop requires explicit exit/cancel safeguards.,while True:
pattern,PATTERN009,medium,performance,traigent/storage/local_storage.py,181,,Blocking sleep can stall event loops or workers.,time.sleep(backoff)
pattern,PATTERN005,medium,resilience,traigent/telemetry/optuna_metrics.py,77,,Broad exception catch may hide failure modes.,except Exception:  # pragma: no cover - defensive
pattern,PATTERN005,medium,resilience,traigent/telemetry/optuna_metrics.py,84,,Broad exception catch may hide failure modes.,except Exception:  # pragma: no cover - defensive
pattern,PATTERN004,medium,resilience,traigent/traigent_client.py,362,,Infinite loop requires explicit exit/cancel safeguards.,while True:
ast,AST006,medium,api,traigent/traigent_client.py,121,optimize,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def optimize(..., max_trials, ...)"
ast,AST006,medium,api,traigent/traigent_client.py,192,_optimize_hybrid,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def _optimize_hybrid(..., max_trials, ...)"
ast,AST006,medium,api,traigent/traigent_client.py,303,_optimize_saas,Parameter 'max_trials' has no local guard/comparison; validate bounds in call path.,"def _optimize_saas(..., max_trials, ...)"
pattern,PATTERN005,medium,resilience,traigent/tuned_variables/detection_strategies.py,612,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/tuned_variables/detector.py,94,,Broad exception catch may hide failure modes.,except Exception:
ast,AST004,high,security,traigent/tvl/spec_loader.py,805,eval,Use of eval() can execute dynamic code.,eval(...)
pattern,PATTERN005,medium,resilience,traigent/utils/batch_processing.py,424,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/utils/cost_calculator.py,406,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/utils/cost_calculator.py,478,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/utils/cost_calculator.py,623,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/utils/cost_calculator.py,930,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/utils/diagnostics.py,285,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/utils/diagnostics.py,305,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN005,medium,resilience,traigent/utils/local_analytics.py,327,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN008,medium,determinism,traigent/utils/retry.py,154,,Random behavior without explicit seed can reduce reproducibility.,jitter_amount = delay * 0.1 * random.random()
pattern,PATTERN008,medium,determinism,traigent/utils/retry.py,157,,Random behavior without explicit seed can reduce reproducibility.,"delay = random.uniform(0, delay)"
pattern,PATTERN005,medium,resilience,traigent/utils/retry.py,224,,Broad exception catch may hide failure modes.,except Exception:
pattern,PATTERN009,medium,performance,traigent/utils/retry.py,339,,Blocking sleep can stall event loops or workers.,time.sleep(delay)
pattern,PATTERN005,medium,resilience,traigent/utils/validation.py,499,,Broad exception catch may hide failure modes.,except Exception:
ast,AST001,medium,maintainability,traigent/wrapper/server.py,90,create_app,Very long function; what-if reasoning may miss edge cases.,function_len=195
ast,AST001,medium,maintainability,traigent/wrapper/server.py,100,app,Very long function; what-if reasoning may miss edge cases.,function_len=183
ast,AST001,medium,maintainability,traigent/wrapper/service.py,495,handle_execute,Very long function; what-if reasoning may miss edge cases.,function_len=171
